No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Section,No plan,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Nature culture,Surface terrain
1,09/02/2024,Vente,510800.0,4.0,IMP,0028,DE LA CHARTREUSE,38790.0,SAINT-GEORGES-D'ESPERANCHE,38,389,AR,610,0,3.0,Dépendance,0.0,0.0,S,1500.0
1,02/04/2024,Vente,120000.0,2.0,RUE,3090,SAINT PAUL,74960.0,ANNECY,74,10,AI,130,1,3.0,Dépendance,0.0,0.0,,
1,23/04/2024,Vente,23000.0,7.0,RUE,0119,NATIONALE,31210.0,MONTREJEAU,31,390,C,176,1,3.0,Dépendance,0.0,0.0,,
1,30/04/2024,Vente,180953.0,9.0,RUE,0880,SAINTE ROSE,97410.0,SAINT PIERRE,974,16,DS,513,1,2.0,Appartement,72.0,3.0,,
1,11/01/2024,Vente,340000.0,1044.0,RTE,0292,DE PERNES,84170.0,MONTEUX,84,80,B,175,0,1.0,Maison,131.0,4.0,T,4340.0
1,12/01/2024,Vente,145000.0,27.0,CHE,6364,DE TERRON,6200.0,NICE,06,88,NI,191,1,3.0,Dépendance,0.0,0.0,,
1,21/02/2024,Vente,435000.0,96.0,AV,9635,VICTOR HUGO,92170.0,VANVES,92,75,I,126,1,2.0,Appartement,64.0,3.0,,
1,28/06/2024,Vente,120000.0,5118.0,,B922,LE PRESSOIR,72290.0,MEZIERES SUR PONTHOUIN,72,196,A,140,0,3.0,Dépendance,0.0,0.0,S,3479.0
1,13/06/2024,Vente,120000.0,393.0,RTE,0022,TOURIST.DE CABRIERES RD100,84800.0,LAGNES,84,62,B,117,0,1.0,Maison,29.0,2.0,VE,1260.0
1,29/01/2024,Vente,87300.0,590.0,RUE,0066,DES BETTETS,73500.0,MODANE,73,157,F,1567,2,3.0,Dépendance,0.0,0.0,,
1,30/04/2024,Vente,41800.0,15.0,RUE,1120,GAMBETTA,10250.0,MUSSY SUR SEINE,10,261,D,622,0,3.0,Dépendance,0.0,0.0,S,59.0
1,29/04/2024,Vente,140000.0,13.0,BD,4740,JEAN JAURES,92100.0,BOULOGNE-BILLANCOURT,92,12,M,133,1,3.0,Dépendance,0.0,0.0,,
1,30/05/2024,Vente,430200.0,17.0,RUE,3080,DES SOURCES,3200.0,VICHY,03,310,BD,845,0,2.0,Appartement,14.0,1.0,S,119.0
1,22/04/2024,Vente,30109.0,7.0,RUE,0021,MARQUEDEVY,70000.0,FROTEY-LES-VESOUL,70,261,AK,728,0,3.0,Dépendance,0.0,0.0,S,97.0
1,22/01/2024,Vente,119100.0,24.0,,0175,GRANDE ALLEE,54220.0,MALZEVILLE,54,339,AD,168,1,2.0,Appartement,84.0,5.0,,
1,05/04/2024,Vente,266000.0,9.0,RUE,0069,BOTTICELLI,84130.0,LE PONTET,84,92,AP,103,0,1.0,Maison,86.0,4.0,S,474.0
1,07/06/2024,Vente,77500.0,41.0,RES,A015,DES BELLES DAMES,51120.0,SEZANNE,51,535,H,3292,0,1.0,Maison,80.0,5.0,S,434.0
1,26/06/2024,Vente,210800.0,3.0,RUE,0219,DES MYOSOTIS,49280.0,LA SEGUINIERE,49,332,AS,260,0,1.0,Maison,100.0,4.0,S,782.0
1,16/05/2024,Vente,254000.0,22.0,RUE,0275,PATRICIA PICOT,56890.0,SAINT-AVE,56,206,AS,256,1,3.0,Dépendance,0.0,0.0,,
1,23/01/2024,Vente,125000.0,188.0,AV,1546,DU DR RAYMOND VERGES,97450.0,SAINT-LOUIS,974,14,DK,627,1,3.0,Dépendance,0.0,0.0,,
1,23/02/2024,Vente,280175.0,25.0,RUE,5160,DE LA MADELEINE,17000.0,LA ROCHELLE,17,300,DP,337,4,2.0,Appartement,64.0,3.0,,
1,06/05/2024,Vente,157800.0,175.0,RUE,0107,JULIE DAUBIE,88140.0,BULGNEVILLE,88,79,ZE,226,0,1.0,Maison,125.0,6.0,S,874.0
10,07/03/2024,Vente,4014423.0,2.0,RUE,0640,DE LA BARRE NOUVELLE,93170.0,BAGNOLET,93,6,O,305,0,3.0,Dépendance,0.0,0.0,S,50783.0
1,18/06/2024,Vente,757400.0,10.0,LOT,A010,L'AIGUE VIVE,13790.0,ROUSSET,13,87,AE,198,0,1.0,Maison,100.0,4.0,S,1000.0
1,27/02/2024,Vente,193000.0,48.0,AV,4559,DU PONT JUVENAL,34000.0,MONTPELLIER,34,172,HL,596,2,3.0,Dépendance,0.0,0.0,,
1,25/04/2024,Vente,122531.0,46.0,RUE,0620,BALZAC,21000.0,DIJON,21,231,AN,119,3,3.0,Dépendance,0.0,0.0,,
1,21/05/2024,Vente,445000.0,14.0,RUE,6711,NELATON,75015.0,PARIS 15,75,115,DQ,12,2,2.0,Appartement,43.0,2.0,,
